State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
S,4,0,0,0.4,thread_QSvIe2d4glrCUnrhJ4aAYbca,1.0,0.021,-0.165,-0.072,1.000,1.000,1.000
S,4,0,0,0.4,thread_uAOjZSKCNftXdsBCOaRQQsqw,0.0,-0.041,-0.244,-0.143,0.000,0.000,0.000
S,4,0,0,0.4,thread_97ipULVImvhVbPazBRq82xd8,0.0,-0.028,-0.123,-0.074,0.000,0.000,0.000
S,4,0,0,0.4,thread_8vUXiBgSsgSM51SLzvv5MwZ3,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,4,0,0,0.4,thread_S2lXsbnbjlSMQ3dnrkpqRpBO,0.0,-0.074,-0.168,-0.120,0.000,0.000,0.000
S,5,0,0,0.4,thread_xKzTKUW9zCa93NfKHLleT3QT,0.0,-0.054,-0.230,-0.141,0.000,0.000,0.000
S,5,0,0,0.4,thread_QzIczni4hriwt3L2cNU3kbIq,0.0,-0.091,-0.239,-0.164,0.000,0.000,0.000
S,5,0,0,0.4,thread_QJxyGc78wEyTRjV3QzUk54Lp,0.0,-0.064,-0.183,-0.123,0.000,0.000,0.000
S,5,0,0,0.4,thread_6Olq8C12wcD25xFMx9CivRo6,0.0,-0.064,-0.183,-0.123,0.000,0.000,0.000
S,5,0,0,0.4,thread_B5c0MFfnrXVkQz2FalPPitTH,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,0,0,0.4,thread_tuT14bcehLeFPW6QrLAwI4Ct,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,0,0,0.4,thread_1ElJrb5GQQN9k6lqeC940uym,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,0,0,0.4,thread_fKVRuKgH5uxRaVwogZUwjKSi,0.0,-0.071,-0.199,-0.134,0.000,0.000,0.000
I,0,1,0,0.4,thread_zmeT2jqpAmW4racSjw4mqnQa,0.0,0.027,-0.138,-0.055,0.000,0.000,0.000
I,0,1,0,0.4,thread_rNyx2djuSyJGRwBVbgYGx62I,0.0,0.014,-0.208,-0.097,0.000,0.000,0.000
I,0,1,0,0.4,thread_xwPQ8UW9oQrsPvcLVOtxhO0t,0.0,0.012,-0.150,-0.069,0.000,0.000,0.000
