Temp,TP,FP,TN,FN,P,R,F1
0.2,36,14,4,6,0.72,0.8571428571428571,0.782608695652174
0.3,39,20,0,1,0.6610169491525424,0.975,0.7878787878787878
0.4,38,18,2,2,0.6785714285714286,0.95,0.7916666666666667
0.5,39,19,1,1,0.6724137931034483,0.975,0.7959183673469388
0.6,37,18,2,3,0.6727272727272727,0.925,0.7789473684210527
