State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
S,4,4,0,0.4,thread_ruT4hng68lv6yqRjDukdrJaM,0.0,0.020,0.079,0.051,0.000,0.000,0.000
S,4,4,0,0.4,thread_mGvOvZM3l9xMs9srOYvIEYU0,0.0,-0.014,-0.122,-0.067,0.000,0.000,0.000
S,4,4,0,0.4,thread_XZ6MFosq4iFm5NChQH2tKobd,0.0,0.006,0.013,0.011,0.000,0.000,0.000
S,4,4,0,0.4,thread_FnV7XXbQVUJEtJ6dHunwqaIX,0.0,0.018,-0.146,-0.064,0.000,0.000,0.000
S,4,4,0,0.4,thread_uUAbKvTp77SS9WEceWjRdFsx,1.0,0.003,-0.113,-0.054,0.000,0.000,0.000
S,4,4,0,0.4,thread_lKgOWpTeVRexTlOECuxfQfv0,0.0,-0.002,-0.046,-0.022,0.000,0.000,0.000
S,4,4,0,0.4,thread_ao8jBMsnEOYl729p3BwpY0sN,1.0,0.034,-0.065,-0.014,0.000,0.000,0.000
S,5,4,0,0.4,thread_KYUUX5EdGtxYn5RSibmiNeuy,0.0,0.002,0.079,0.042,0.000,0.000,0.000
S,5,4,0,0.4,thread_AOaeO76HupgNbtt6uHKDyj7i,0.0,0.017,0.043,0.032,0.000,0.000,0.000
S,5,4,0,0.4,thread_NWrWHEWVHRGGKUZymrIi7Tdt,0.0,0.020,0.117,0.070,0.000,0.000,0.000
S,5,4,0,0.4,thread_k9mpO92g924T0CWsBxMze3fe,0.0,0.019,-0.008,0.007,0.000,0.000,0.000
S,5,4,0,0.4,thread_595LO3nXureUeDEJUjFtnTcH,0.0,0.013,0.025,0.020,0.000,0.000,0.000
S,5,4,0,0.4,thread_exAszMJLeCMqxnubsbjsoxFi,0.0,-0.042,-0.154,-0.097,0.000,0.000,0.000
S,5,4,0,0.4,thread_R60qdtTutsxsUGAq2LvSCZ04,0.0,-0.014,-0.152,-0.082,0.000,0.000,0.000
S,5,4,0,0.4,thread_inwQ8k8ZkKGxCoScob4Cc3TY,0.0,-0.017,-0.086,-0.050,0.000,0.000,0.000
S,5,4,0,0.4,thread_MqgkSaa5Jfnkdk0C5c0lmIgW,0.0,-0.062,-0.099,-0.079,0.000,0.000,0.000
S,5,4,0,0.4,thread_Wbtf4f6T9bQUfAtSkrz8DmFn,0.0,0.009,-0.028,-0.008,0.000,0.000,0.000
